word,translation,pinyin,type,category
然后,Then,Ránhòu,,Grammar
如果,If,Rúguǒ,,Grammar
而且,And,Érqiě,,Grammar
但是,But,Dànshì,,Grammar
虽然,Although,Suīrán,,Grammar
当然,Certainly,Dāngrán,,Grammar
应该,should,Yīnggāi,,Grammar
粘贴,Paste,Zhāntiē,Verb,Action
已经,Already,Yǐjīng,,Grammar
层,Layer,Céng,,
官方,Official,Guānfāng,,
幽默,Humor,Yōumò,,
申请,Apply,Shēnqǐng lìzi,,
因为,Because,Yīnwèi,,Grammar
赛博朋克,Cyberpunk,Sài bó péngkè,,Genres
便利设施,Conveniences,Biànlì shèshī,,
来自,From,Láizì,,Grammar
确认,Confirm,Quèrèn,,
统计数据,Statistical data,Tǒngjì Shùjù,,
跳舞,Dance,Tiàowǔ,,
仆人,Servant,Púrén,,
突然,Sudden,Túrán,,
例子,Example,Lìzi,,
向日葵,Sunflower,Xiàngrìkuí,,
洛杉矶,Los Angeles,Luòshānjī,,Locations
展开,Expand,Zhǎnkāi,,
意见,Opinion,Yìjiàn,,
沉默,Silence,Chénmò,,
总价,Total price,Zǒng jià,,
社交,Social contact,Shèjiāo,,
副作用,Side effect,Fùzuòyòng,,
领袖,Leader,Lǐngxiù,,